	Kingdom:Phylum:Class:Order:Family:Genus:Species
SV_57	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Faecalibacterium:prausnitzii
SV_58	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Lachnospiraceae ND3007 group:NA
SV_59	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Ruminococcus:bromii
SV_60	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:mucilaginosa
SV_61	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:periodonticum
SV_62	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Blautia:faecis
SV_63	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:graevenitzii
SV_64	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Aggregatibacter:segnis
SV_65	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:Citrobacter:NA
SV_66	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:vulgatus
SV_67	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Abiotrophia:defectiva
SV_68	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Dialister:invisus
SV_69	Bacteria:Proteobacteria:Gammaproteobacteria:Burkholderiales:Burkholderiaceae:Lautropia:mirabilis
SV_70	Bacteria:Actinobacteriota:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces:NA
SV_71	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Anaerostipes:hadrus
SV_72	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Pasteurellaceae:Haemophilus:NA
SV_73	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Subdoligranulum:NA
SV_74	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Blautia:massiliensis
SV_75	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] eligens group:NA
SV_76	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:riegelii
SV_77	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:plebeius
SV_78	Bacteria:Actinobacteriota:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella:vaginalis
SV_79	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:NA:NA
SV_80	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] ruminantium group:NA
SV_81	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:anginosus
SV_82	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Leptotrichia:hongkongensis
SV_83	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:uenonis
SV_84	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Ruminococcus:NA
SV_85	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Dorea:longicatena
SV_86	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium:parvulum
SV_87	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Megasphaera:NA
SV_88	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Ruminococcus] gauvreauii group:NA
SV_89	Bacteria:Firmicutes:Bacilli:Erysipelotrichales:Erysipelotrichaceae:Holdemanella:NA
SV_90	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella:amnii
SV_91	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Fusicatenibacter:NA
SV_92	Bacteria:Firmicutes:Clostridia:Oscillospirales:[Eubacterium] coprostanoligenes group:NA:NA
SV_93	Bacteria:Firmicutes:Clostridia:Christensenellales:Christensenellaceae:Christensenellaceae R-7 group:NA
SV_94	Bacteria:Fusobacteriota:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium:NA
SV_95	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Agathobacter:NA
SV_96	Bacteria:Actinobacteriota:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium:vaginae
SV_97	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Anaerostipes:hadrus
SV_98	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:[Eubacterium] eligens group:NA
SV_99	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:NA
SV_100	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:NA
SV_101	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7:histicola
SV_102	Bacteria:Actinobacteriota:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium:genitalium
SV_103	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_9:NA
SV_104	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Faecalibacterium:NA
SV_105	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Dialister:NA
SV_106	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas:NA
SV_107	Bacteria:Bacteroidota:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides:uniformis
SV_108	Bacteria:Firmicutes:Negativicutes:Veillonellales-Selenomonadales:Veillonellaceae:Megasphaera:micronuciformis
SV_109	Bacteria:Firmicutes:Clostridia:Oscillospirales:Ruminococcaceae:Ruminococcus:bicirculans
SV_110	Bacteria:Actinobacteriota:Actinobacteria:Micrococcales:Micrococcaceae:Rothia:NA
SV_111	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacterales:Enterobacteriaceae:NA:NA
SV_112	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Globicatella:NA
SV_113	Bacteria:Firmicutes:Clostridia:Lachnospirales:Lachnospiraceae:Coprococcus:eutactus
SV_114	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_115	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus:NA
SV_116	Bacteria:Firmicutes:Clostridia:Oscillospirales:Hungateiclostridiaceae:Fastidiosipila:NA
