	DNA_1	DNA_2	S_101	S_102	S_103	S_104	S_105	S_106	S_107	S_107a	S_108	S_109	S_110	S_111	S_112	S_113	S_114	S_115	S_116	S_117	S_118	S_119	S_120	S_121	S_122	S_123	S_124	S_125	S_126	S_127	S_128	S_129	S_130	S_131	S_132	S_133	S_134	S_135	S_136	S_137	S_138	S_139	S_140	S_141	S_142	S_143	S_144	S_145	S_146	S_147	S_148	S_149	S_150	S_151	S_152	S_153	S_154	S_155	S_156	S_157	S_158	S_159	S_160	S_161	S_162	S_163	S_164	S_165	S_166	S_167	S_168	S_169	S_170	S_171	S_172	S_173	S_174	S_175	S_176	S_177	S_178	S_179	S_180	S_181	S_182	S_183	S_184	H_450	H_451	H_452	H_453	H_454	H_455	H_456	H_457	H_458	H_459	H_459a	H_460	H_461	H_462	H_463	H_464	H_465	H_466	H_467	H_468	H_469	H_470	H_471	H_472	H_473	H_474	H_475	H_476	H_477	H_478	H_479	PCR_1	PCR_2	Spike_1_1	Spike_1_2	Spike_2_1	Spike_2_2
SV_11	110	219	3100	11716	191	3220	209	13326	124	45	346	297	0	93	285	193	453	95	336	146	0	83	409	199	330	0	0	328	365	168	925	338	15229	2549	104	82	166	49	92	35	147	92	31	80	974	193	54	0	127	190	45	35	450	36	85	636	68	503	1163	166	236	70	0	250	423	232	143	0	788	229	291	219	108	400	152	203	64	156	135	300	475	242	14608	18	0	63	7134	49	646	0	1150	205	6913	40	109	129	2962	336	2006	27	122	20	263	375	415	26	165	12878	3319	991	407	342	109	132	527	1946	394	630	301	122	661	271	95	0
SV_12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	284	598	0	0	0	0	0	0	0	0	0	0	0	310	0	40	0	0	0	0	31	429	0	0	0	0	0	794	125	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	19	0	0	0	0	352	0	0	0	0	0	0	0	726	312	0	0	0	0	0	0	0	1001	0	0	0	0	0	0	0	0	0	0	0	0	0	148	0	0	0	0	0	0	677	0	0	0	0
SV_13	172	0	1377	880	1010	361	607	3883	1057	2182	4152	327	1358	204	434	1109	487	174	645	542	665	652	2182	926	351	575	434	694	716	333	1086	729	993	2481	665	338	1178	141	132	434	428	711	116	358	2215	593	1139	464	117	1798	78	389	1237	318	255	599	232	448	519	616	174	578	152	1442	819	442	215	363	1472	1702	956	229	751	1291	520	280	774	1855	248	1506	850	445	1870	342	340	295	1269	905	1302	406	3013	924	1472	315	2428	636	1879	1053	940	1960	387	180	1055	884	910	176	287	1157	1760	2349	294	400	525	1562	3282	938	576	694	452	0	491	0	260	0
SV_14	99	49	1753	2262	169	561	332	259	2354	182	2650	257	6500	726	101	5286	3444	194	387	992	282	815	387	202	180	149	585	1432	536	234	745	4223	1460	496	1513	266	9655	109	287	152	396	786	187	144	392	455	630	2069	139	320	54	1040	728	712	286	1109	1026	2886	429	412	183	650	494	139	1172	227	176	1939	3253	489	396	137	392	3778	280	212	242	1271	1647	444	722	60	372	120	1771	206	250	1899	1232	319	1294	1333	170	1271	851	72	1213	524	224	547	295	91	1325	110	231	129	324	73	206	332	99	766	116	430	319	376	305	329	150	25	105	121	208	71
SV_15	103	43	1222	192	829	167	429	89	223	317	656	579	280	7199	4873	834	1119	479	143	418	113	97	434	420	322	63	590	1947	1721	393	455	2392	302	192	496	1283	1684	52	54	257	216	325	840	403	187	277	278	1228	771	242	763	2729	1325	645	838	290	1480	700	308	178	1026	1657	483	143	288	313	169	88	392	318	168	269	492	842	361	226	58	1362	1511	305	3652	116	414	147	489	386	175	4707	527	143	729	213	142	6274	1717	3321	532	2015	94	288	218	116	404	252	575	367	250	247	444	289	187	4270	216	146	441	57	700	753	217	24	45	76	252	24
SV_16	45	0	641	312	295	1681	415	350	1626	128	68	108	447	678	1994	1058	385	133	163	113	109	111	597	2587	200	208	346	2241	688	295	238	176	56	174	154	1489	21970	86	130	497	351	132	102	5927	306	324	1769	1605	624	1202	278	592	431	365	501	1771	508	393	251	249	534	533	311	784	637	424	66	1626	562	358	154	230	287	1011	332	446	1952	235	146	326	735	100	116	91	529	1367	270	1692	684	88	949	419	77	388	955	126	852	1235	1149	187	241	55	1788	235	2568	240	594	78	110	202	116	790	191	516	413	1516	113	169	240	11	108	23	198	24
SV_17	90	24	1297	1313	167	80	146	271	261	246	1293	305	2825	600	1302	1761	949	107	310	399	83	183	386	508	213	48	722	2347	1287	396	432	1353	312	276	402	317	6918	86	94	254	333	1406	157	329	158	541	602	1484	614	167	457	2204	776	615	662	272	1601	352	312	910	1196	3782	890	348	569	278	286	0	641	236	286	204	469	1428	433	153	297	1049	2445	812	3732	37	925	170	698	139	209	6101	993	125	437	723	231	2779	2439	163	964	596	182	666	296	106	827	115	765	101	764	63	776	173	240	1859	218	246	362	209	280	341	156	25	122	52	218	0
SV_18	22	30	1720	247	306	91	69	96	860	266	179	526	1493	489	1141	391	686	228	34	1196	130	99	286	104	472	69	1161	902	3177	331	1062	2561	241	96	728	223	993	36	90	274	239	470	100	266	135	109	161	386	503	284	817	922	190	609	351	0	295	161	286	149	450	1092	752	90	142	182	241	0	377	308	87	97	80	1523	155	83	150	547	973	216	2058	146	116	116	379	0	0	6287	215	91	84	205	103	19962	4486	275	1259	447	0	408	149	113	2559	162	234	158	81	57	392	142	39	1580	122	138	105	0	847	615	218	11	0	59	326	0
SV_19	196	0	398	752	390	245	252	0	1109	491	1477	370	0	119	293	504	239	253	250	284	0	545	502	573	187	0	658	987	0	252	481	5493	691	503	366	150	2535	0	0	362	929	341	0	460	0	345	1302	1347	0	313	0	3449	717	894	188	515	438	2371	276	589	417	449	0	0	1027	237	237	0	1320	0	697	285	297	3376	328	377	0	934	524	758	1920	0	586	554	311	117	581	714	6797	237	957	702	540	709	2391	0	672	498	454	688	252	221	445	0	0	165	819	0	504	527	348	769	532	0	534	410	325	0	192	73	363	118	437	0
SV_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	256	397	0	0	0	0	0	0	0	0	0	0	0	227	0	0	0	0	0	0	0	282	0	0	0	0	0	584	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	483	231	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	387	0	0	0	0
