	Absiella	Achromobacter	Acidaminococcus	Agathobaculum	Akkermansia	Alcaligenes	Alistipes	Alphaproteobacteria_unclassified	Anaerobutyricum	Anaerococcus	Anaerostipes	Anaerotignum	Bacteroidales_unclassified	Bacteroides	Barnesiella	Bifidobacterium	Bilophila	Blautia	Brevundimonas	Burkholderiales_unclassified	Butyricicoccus	Butyricimonas	Butyrivibrio	Campylobacter	Candidatus_Gastranaerophilales_unclassified	Catenibacterium	Cloacibacillus	Clostridiaceae_unclassified	Clostridiales_Family_XIII_Incertae_Sedis_unclassified	Clostridiales_unclassified	Clostridium	Collinsella	Coprobacillus	Coprobacter	Coprococcus	Corynebacterium	Dakarella	Delftia	Desulfovibrio	Dorea	Duodenibacillus	Eggerthella	Enterobacter	Enterococcus	Erysipelatoclostridium	Escherichia	Eubacterium	Evtepia	Ezakiella	Facklamia	Faecalibacillus	Faecalibacterium	Faecalimonas	Faecalitalea	Fenollaria	Finegoldia	Firmicutes_unclassified	Flavonifractor	Frisingicoccus	Fusicatenibacter	Fusobacterium	Gemmiger	GGB1026	GGB1101	GGB1215	GGB1234	GGB1235	GGB1239	GGB1247	GGB1250	GGB1266	GGB1270	GGB1331	GGB1336	GGB13508	GGB1380	GGB1387	GGB1407	GGB1420	GGB1455	GGB1458	GGB1495	GGB1497	GGB1505	GGB1526	GGB1535	GGB1550	GGB1559	GGB1627	GGB1669	GGB1679	GGB1681	GGB1685	GGB2657	GGB2672	GGB273	GGB2733	GGB2734	GGB28826	GGB2975	GGB2998	GGB3002	GGB3005	GGB3109	GGB3111	GGB3161	GGB3167	GGB3170	GGB3175	GGB31765	GGB3189	GGB3204	GGB3215	GGB32350	GGB3236	GGB32430	GGB32478	GGB3256	GGB3267	GGB3277	GGB3278	GGB32804	GGB32862	GGB32884	GGB32905	GGB3293	GGB3303	GGB3304	GGB33097	GGB33328	GGB3341	GGB3344	GGB3345	GGB33462	GGB33468	GGB33469	GGB33490	GGB33586	GGB33594	GGB3363	GGB33927	GGB33960	GGB34295	GGB3433	GGB34350	GGB3469	GGB3475	GGB3480	GGB3486	GGB34873	GGB3496	GGB35083	GGB3523	GGB35325	GGB3548	GGB3550	GGB3582	GGB3586	GGB3607	GGB3609	GGB3612	GGB3614	GGB3619	GGB3623	GGB3633	GGB3637	GGB3653	GGB3654	GGB36854	GGB37166	GGB3731	GGB3733	GGB3744	GGB3746	GGB37896	GGB38021	GGB38043	GGB3819	GGB39291	GGB39755	GGB4239	GGB4256	GGB4266	GGB4361	GGB4491	GGB4542	GGB4549	GGB4552	GGB4566	GGB4567	GGB4569	GGB4570	GGB4571	GGB4578	GGB4579	GGB4585	GGB4599	GGB4604	GGB4611	GGB4642	GGB4655	GGB4659	GGB4664	GGB4676	GGB4684	GGB4687	GGB4689	GGB4694	GGB4700	GGB4703	GGB4704	GGB4706	GGB4710	GGB4713	GGB4715	GGB4716	GGB4733	GGB4745	GGB4749	GGB4750	GGB4754	GGB4768	GGB4769	GGB4770	GGB6006	GGB6007	GGB6010	GGB6012	GGB6020	GGB6123	GGB6124	GGB6132	GGB6518	GGB6520	GGB6544	GGB6577	GGB6606	GGB6608	GGB6612	GGB6613	GGB781	GGB9045	GGB9056	GGB9057	GGB9059	GGB9061	GGB9063	GGB9064	GGB9081	GGB9091	GGB9092	GGB9109	GGB9110	GGB9172	GGB9175	GGB9176	GGB9210	GGB9211	GGB9249	GGB9256	GGB9261	GGB9266	GGB9271	GGB9277	GGB9293	GGB9342	GGB9343	GGB9345	GGB9347	GGB9350	GGB9352	GGB9365	GGB9366	GGB9379	GGB9423	GGB9453	GGB9468	GGB9479	GGB9509	GGB9512	GGB9524	GGB9542	GGB9547	GGB9602	GGB9614	GGB9615	GGB9623	GGB9627	GGB9631	GGB9632	GGB9633	GGB9634	GGB9635	GGB9636	GGB9672	GGB9677	GGB9691	GGB9699	GGB9705	GGB9707	GGB9710	GGB9712	GGB9715	GGB9730	GGB9739	GGB9747	GGB9758	GGB9759	GGB9760	GGB9762	GGB9770	GGB9785	Holdemanella	Hungatella	Intestinibacter	Klebsiella	Lachnospira	Lachnospiraceae_unclassified	Lactobacillus	Lawsonella	Levyella	Longicatena	Mediterraneibacter	Megasphaera	Mesosutterella	Methanobrevibacter	Methanomassiliicoccus	Microbacterium	Mitsuokella	Mobiluncus	Morganella	Ndongobacter	Neglecta	Nissabacter	Odoribacter	Oscillibacter	Parabacteroides	Paraprevotella	Parasutterella	Parvimonas	Peptoniphilus	Phascolarctobacterium	Pluralibacter	Porphyromonas	Prevotella	Prochlorococcus	Proteus	Pseudomonas	Raoultella	Romboutsia	Roseburia	Ruminococcaceae_unclassified	Ruminococcus	Ruthenibacterium	Stappia	Stenotrophomonas	Streptococcus	Streptomyces	Subdoligranulum	Sutterella	Tissierellia_unclassified	Tyzzerella	
106	342	124	246	16664	3494	96	2612492	558	93416	516	428794	18766	40	16813214	916370	87668	203476	392086	46	286	472	163488	342	734	1752	524	40	45500	3224	61226	321208	50156	794	186134	78126	796	0	376	250	111940	364	3884	420	60	1092	7520	87694	4200	116	1412	80664	1244020	9160	800	7024	8136	91496	57372	1094	268128	42	21536	114	314	358	1706	1468	80	50	172	2190	648	54	40	172	20966	24696	6020	472	438	40	19064	6484	154	12	0	4	386	82	2	922	119824	12176	186	34	1212	0	200	276	2644	238	2846	496	8878	0	18	6	166	378	22	2	3232	38	119832	32	11498	448	2332	154	702	1916	286668	1708	2562	40	2334	16	2174	22	16674	374	1492	978	1546	0	88	4134	702	1814	16454	16888	37572	2010	2248	17468	170	392	286	2290	46	2588	140660	1946	164	368	2068	404	2296	6750	1074	34122	888	2852	6564	1534	1748	4302	2100	32	1116	872	504	3140	374486	250	0	124	5096	567738	135932	252	2	194	2	20	16	4	480	6	134	0	2	188	2	0	56	824	8	8	110	82	1676	350	0	1150	2	8	0	4	0	0	654	2	2	6	132	12	170	1876	78	0	46	34	0	1862	686	1386	4	2	0	26	0	10	2	0	0	230	276	1476700	5312	0	0	6	902	74	34	52	44	0	106	0	176	76	0	388	82	210	4152	4	126	4	32	1088	390	36	724	6	696	42	134	12	6	194	88	148	158	16588	258540	22	5948	286	24	60	2978	288	3722	1206	114	116	36062	7464	1726	15932	484	70	270	140	2116	56	142	3298	122	21636	126	15938	2476	6696	30	120	0	94	18	330	2384	1826	7374	2358	1411170	36	446	1200	744	28670	2	52	56	600	648	66344	98	6	66	534	0	231180	95488	517858	30650	66092	34	7362	790	28	16466	35084	2994	0	906	388	6728	2442652	16326	462048	19648	30	1236	1206	27490	8580	12	2338	3332	SF
129	304	232	242	9120	87988	0	3076302	9346	105628	140	40902	962	0	5226858	229616	136542	3658	322960	4	84	4884	57156	996	224	1075540	1260	706	15496	3050	138090	506356	103586	192	151302	253854	1184	0	64	12488	78444	576	240	26	262	180	3246	814824	6296	18	562	13130	1321594	1820	2474	912	1204	95688	3954	1634	505558	94	287586	4	614	84	2534	308	0	8	40	456	26	530	456	4846	1686	1658	266	86	10	52	2440942	4542	180	0	0	84	204	4	66	182226	3482712	2974	1210	0	183028	0	3302	36	3952	3908	2782	592	7822	64	118	462	528	1130	0	48706	7210	162	20992	166	7064	7076	2608	444	1332	4992	51746	1986	3144	33924	8078	130	580202	5894	4498	1078	1702	35106	7660	150	842	1400	1554	2478	3344	2674	4628	108	418	19216	366	15422	2908	82064	62	1218	114724	3186	796	472	288	304	3966	60190	2970	8718	11678	2436	20712	34270	8216	11132	1752	78	582	634	108	88228	79524	642	248	36	50	126152	204388	148	4	104	0	8658	1718	1164	135650	17302	61418	21694	596	139942	228	178	744	634	896	478	814	494	92	758	4	1100	186	50	24	3268	170	38	580	20	54	30	964	0	30462	612	5556	970	332	30	0	133898	388	724	2	4	652	23948	14270	44546	520	151874	164122	624760	192	3418	2220	0	418	282	1384	1084	66904	67942	7986	3326	478	356	8466	5064	246	562	155518	310	5456	300	2622	546	598	1446	550	358	39584	286	17904	434	15976	6438	1226	18	150	138	3524	60428	2808	24	14758	4626	57894	50546	130044	1672	45612	6234	1792	19114	34342	71162	33698	360356	5340	6998	48774	546	38466	13730	6400	33770	16374	116580	15148	886	83454	7292	12510	76484	82	834	886	6644	952	14280	1476	112588	2244740	56	30	72	1098	24486	2958	0	6130	1112	1814	32	174	12956	0	1948	6	294804	124194	845726	14868	3518	2	466	392	8	716	6776	14020	4	1928	8	17812	449030	415454	591758	4956	92	116	7266	27036	201680	159412	290	2180	SF
156	100	278	20	24052	775584	242	417648	504	131008	92	331338	82	34	2830778	9022	1784	218	1319270	128	1366	528	808	2414	34	56	1106	4	1384	3176	103968	645798	3860	5252	1372	28370	390	14	1002	132	202684	288	58380	608	146	2020	221732	48040	54750	106	58	1176	184510	4408	400	1174	1306	61744	50818	4476	170514	252	14770	36	84	10	448	498	12	4	14	758	12	8	104	1674	268	2124	572	352	518	0	3366	1080	440	2	0	132	4	12	6	1060	23548	1378	4518	2	4	150	302	50	852	482	5734	3618	27384	4	294	1442	398	2604	6	142	3386	160	718	276	16604	8206	3662	550	1906	3002	2568	2394	2945376	392	2568252	26	9534	164	910	36852	2180	1094	494	66	46	37178	4830	150	1618	3696	9198	2016	618	3946	372	84510	1576	648	4	4776	12634	5526	1200	1272	5534	1344	634	10428	12170	7636	470	860	55454	956	4258	54372	1468	16	1278	490	208	908	15316	6620	480	0	308	12914	120834	4	124	74	4	5698	784	6234	1784	3500	31904	553302	960	624	340	98	3018	834	58	1728	28	744	270	1176	10	950	668	4	54	108	930	0	694	12	30	144	210	2	168	192	546	40	202	38	0	2672	512	2380	2	0	2	0	104	48	968	4	506	16	10	1908	76	1476	2	74	1710	180	36	56	196	6	4	0	10	6	14	6706	26	10854	684	46	614	56	304	1328	1110	20	60208	80	3398	484	196	98	22	220	182	452	10818	27290	3278	136	376250	3284	3090	2202	113166	6396	24394	7320	976	1816	729564	43362	15158	61844	466	2730	1508	510	73894	526	1474	17540	1190	1365556	114	40	4644	420952	256	1588	110564	7658	138	2828	17520	7856	938	2172	815816	138	142	488	190282	106822	110	4	21846	260	2186	140	254	4256	0	5506	0	323478	832304	280554	7062	92424	6	1074	65650	2032	4360	7006	5420	32	616438	56	942	346554	634644	1480554	74454	108	4710	14278	14352	4924	630	274	30072	SF
460	34	312	2	70280	77942	0	3636192	712	148562	92	394716	11628	66	8350758	174036	21000	116768	838334	74	524	926	127608	316	228	20832	1808	1722	45980	4078	263478	1058294	374358	688	62312	546250	6326	18	16	212638	265932	158	1780	362	24252	350	48248	943578	812	56	34	208844	4057622	5430	1466	704	3462	1004832	12076	3894	581986	818	94604	234	1198	730	2168	828	16	6	38	508120	738	150178	438	8510	1470	5444	616	180	338	4	43378	3722	38	2	2	8	306	0	74	25006	4319640	5818	3502	184	1258	0	7174	16	13168	15412	5398	3046	30302	70650	684	434	107056	166500	98	154	12854	1408	15920	526	44460	36108	25494	1666	1536	344280	161904	2960	44776	4626	19790	220	32106	318636	47808	5538	3304	4232	13656	2	6952	29856	5586	5142	6110	3208	24904	258	10818	45992	486	31790	154890	4052	186	6628	23328	8524	478	580	700	748	3818	44118	7604	37118	2640	85028	64312	24282	5560	39284	8490	202	11608	1374	624	20346	43128	15692	20	732	60	19896	98500	378	6	104	264	230	3680	1068	3538	24266	61102	6144	382	15704	460	784	255438	24370	13150	692	180712	752	204	4912	61554	6670	392	206	122	618	182	226	1942	114	506	352	682	26	1920	176614	819358	76	702	520086	145776	339532	286	1626	16	8	1430	345292	64866	403660	1946	2	48	65568	602914	216490	1318	6	1208	3172	2948790	254484	1304	1832	188664	258492	22788	160	380	6906	165010	51840	112520	1468	3182	36584	3150	275808	9232	202982	3502	103644	137666	8566	153398	137500	21902	35636	454	966	222	70	9246	292200	1700	84	2756	1968	2132	217918	56490	18904	97712	6502	9672	62002	76830	193896	88408	1653450	272966	1678	209126	4726	48338	55840	13074	55252	185416	157210	29258	1022	190614	4335766	24542	198400	50248	2178	870	868	3114	1962	11116	124120	806304	1556	72	242	750	35078	74	2	41686	454	11554	318	248	32	2	19122	0	1275444	304454	1958736	1025982	85244	90	902	848	60	1832	20760	19854	814	7608	56	3916	1729412	3100708	1122798	10024	322	162	5346	125328	598180	762500	92	4854	HC
178	30	0	682	588	4392	0	241368	1254	119982	116	87096	33866	2	17704366	53894	163606	600	445128	0	6	438	127928	394	22	168	204	6	614	1776	52512	119634	85256	380	2482	9696	834	72	0	282	29070	4	12102	58	48	1432	11176	189454	23034	2	16	510	1129700	3266	716	256	598	13448	63272	1450	129608	98	4904	0	360	6	22	932	2	0	10	1064	406	0	22	338	276	1618	756	258	10	0	79450	4558	4	2	2	2	108	2	26	80	12826	2334	410	0	2	8	152	6	218	30	862	330	5878	0	72	80	430	736	0	2	5240	42	1884	32	1096	220	850	860	276	482	3728	2066	5562	32	2948	144	3342	120	436	350	1364	556	406	0	4	76	2312	2278	524	2558	400	94	45172	84166	78	142	654	964	2	1068	41660	1030	374	552	7658	2016	2666	4956	882	3644	338	398	4316	3190	688	2930	1296	1744	650	184	182	896	3378	8646	0	0	44	22144	1337980	222	0	664	2572	4	522	2	204	44	506	8	0	50	0	0	94	2	10	0	24	14	28	1730	0	788	8	2	722	190	2	0	58	0	8	4	292	0	482	240	820	368	0	592	10	1564	230	1874	2	0	130	2	2	52	0	0	178	40	6	554	1462	0	0	12	1340	112	20	44	12	12	26	6	30	8	2	124	264	698	210	70	134	118	16	428	146	10	914	44	344	142	120	40	66	2	224	140	918	1742	132860	108	694	568	12	74	2744	178	4152	192770	54	64	5522	2270	798	6392	102	70	164	56	998	128	24	912	102	3182	74	34	764	2322	32	296	10	30	6	130	3264	810	386	2578	56342	40518	6	44	1618	29062	0	12	74	240	396	78	8	8	0	808	2	20220	14734	623872	21590	550	0	328	756	48	1092	16992	608	0	6	26	62	1211504	8096	170900	5794	2214	28	107650	5808	6024	834	102	806	SF
107	264	198	4	4490	58290	790	652996	306	57294	906	30596	12894	24	969098	6030	90112	63654	173630	46	4	16282	890	554	358	10	546	184	41268	2776	83568	1102744	144082	172	5524	518516	3990	0	442	62100	64350	92	524	1047938	8810	22	10235914	107270	13662	42	2652	17920	2335378	1646	504	3274	4650	352446	15660	1778	121774	66	320140	290	912	366	8094	1928	394	1558	2950	1536	1508738	52	128	2796	276	442	2950	34	184	26	217358	750	90	0	74	36	380	446	0	2086	8004	3282	912	80	22	0	568	76	3538	3560	1706	5624	1760	0	76	164	908	1030	24	98	5758	448	1838	62	504412	11036	52454	368	1448	3734	168570	6388	5979248	95598	7766	52	145730	15018	5578	162	4524	39126	828	0	624	2402	2040	4456	8698	260	12060	5959960	162	24246	108	4812	1786	818	84	4338	23150	3990	708	440	326	154	3824	9528	3850	49094	99832	1500	26592	3300	3418	5208	1506	5714	782	56498	125130	8148	14988	4744	1450	0	52	18936	142940	58	112	336	596	226	628	342	42510	284	11180	12	184	1188	424	16	336	47152	498	628	30	352	38	612	2	1124	70	134	48	152	0	26	584	48	78	10	284	8	232	2554	1118	20	8518	280	2	864	94	370	0	340	0	28	0	18	32	0	0	26	509158	1228	362	4	2	38	1818	332	44	378	8124	72	80	0	56	236	34	116	238	1084	1482	24	358	42	202	2152	336	66	4244	210	2924	272	704	9874	378	88	354	288	180	32838	982	11784	774	2604	44	86	36682	11998	123208	1786	2770	736	43562	78660	137828	156044	1698	652	4106	930	13388	2074	7746	14948	912	78206	16812	928	91892	50874	1492	45176	52	202	376	1174	1370	1356	337266	6520	468040	86	360	422	1442	12294	244	2	7042	502	2778	178	180	10844	38	3728	0	145394	367786	175300	2844	138700	2326	4580	352	8150	6718	1265780	11180	786	1901156	114928	11312	1021138	200936	268796	19604	8114	14364	4276	1986	271142	3896	1638	1694	SF
456	90	224	606	2954	102228	18	1522984	288	47894	1654	115610	25858	394	15989866	18324	22720	148976	219134	0	236	10124	1036	172	1386	54	430	26	30874	7962	65302	811034	3012	554	5778	59216	22016	76	2	270	46070	58	10710	68	166	72	3324	246860	5798	110	92	17338	1616412	1818	620	34060	6280	133122	14102	838	275722	6	48814	78	192	3256	214	954	24	38	44	1402	16	138	8	612	1150	5348	848	98	4864	0	21944	4252	254	0	2	4	100	58	2	212	7870	13092	384	2	0	0	1406	12	2020	592	564	212	8040	26	182	18	338	255712	190	136	2518	488	155764	10	10038	8082	82216	3550	592	1362	30624	2046	10294	130	3344	20	2834	320	46274	1370	3618	3130	906	0	34	6854	1618	50	6108	5028	7404	12	278	18096	72	706	506	1142	204	908	473304	4668	266	446	418	372	660	46636	1730	6144	662	666	16792	1394	2444	4296	440	76	496	296	292	1836	267046	9642	0	0	2862	86230	46534	514	32	72	2976	10	184	240	536	17658	512	24	46	7740	18	30	19164	112	40	6	434	178	34	1590	24	1322	54	10	806	934	66	2	194	22	36	2	474	0	64	322	1202	2	8	322	54	1292	194	582	0	18	154	88	16	142	102	0	236	182	210	712	121400	0	82	8	1926	262	18	178	1028	112	18	0	10	16	50	354	136	400	1324	112	162	132	172	4552	176	382	1312	30	1042	270	264	46	6	2	36	90	170	2976	374	3348	374	584	18	72	10174	1464	38540	1786	204	214	73160	11062	2772	22978	290	294	384	136	26018	776	1964	4030	536	3404	37320	288	2150	22492	130	488	82	26	12	122	3196	2868	64	2790	649526	82	804	6452	7176	50560	0	6	78	106	2348	72	470	8	16	636	8	24354	179028	975198	25232	52418	14	6972	352546	20	68716	62698	31050	0	32	0	378	555906	69038	731830	16760	126	20	2854	188670	182222	343620	3706	574	HC
457	368	0	290	16668	626840	0	1637006	1088	105906	232	170596	56460	0	12539912	42222	159278	584	676608	0	12	634	1460	200	180	1802	836	0	10662	1556	57382	508386	8910	166	3980	240280	422	4	0	178	210974	440	25466	54	288	1092	2740	254948	7966	54	274	17218	770798	3086	458	406	1504	82994	36086	1944	189770	670	429466	28	312	8	14	1428	2	52	2	2302	406	276	20	5322	1728	3412	2456	86	30	112	7758	3706	70	0	0	2	340	10	0	502	88356	3716	2364	0	18	0	2026	1070	4260	524	1616	2570	1264	372	184	32	472	1044	2	300	1982	122	96314	62	10148	1334	134648	32	542	7994	290562	1280	1242	160	3020	154	3776	382	6182	536	2170	2334	794	0	96	21876	1540	24	4876	2180	140	34	1056	19582	8468	650	808	1858	2	3050	78604	2838	150	3648	582	458	1266	54912	2586	9154	750	992	16956	2506	2028	5372	2426	318	4030	638	270	672	7130	792	0	140	2498	58036	256412	278	28	52	310	160	44	792	200772	186	714	114	32	107128	78	100	1084	189592	106	274	250	38	1440	1436	22	1086	24	16	4	24	88	14	260	26	214	4	150	0	0	426	2390	24	52	290	64	2150	1318	452	2	0	0	150	24	226	152	0	22	32	316	2870	4668	0	114	20	2404	342	10	6	202	110	144	0	142	54	72	54	100	306	584	44	224	160	146	726	334	38	2046	52	1062	216	378	64	8	8	4	288	10214	14958	478	64	10910	1090	48	392	4130	16022	14398	3102	202	172	9718	74116	3304	28846	572	54	564	226	17068	382	154	4954	492	42424	1254	108	1400	9274	150	530	14	30	18	422	1120	8316	16	142720	770502	94	16	42	2290	5446	0	40	46	794	1160	146	24	6	0	1528	8	8252	267998	988586	36496	608	24	586	334714	0	1018	2212	11296	0	64	294	592	1147850	27856	596248	17616	718	2	22344	92840	252930	808	192	2980	HC
101	630	328284	36	14852	2678	284108	1065794	348	30288	202	49234	90	12	21108716	277370	29494	554	218248	217614	488	318	94100	2958	80	68	1498	46	3088	1384	27160	54168	124270	442	16620	36100	246	0	1762430	112	30674	296	3896	6842	1176	1458	2773580	218650	472	22	258	6358	217516	2024	762	236	628	18316	18944	690	39688	186	84764	84	82	296	100	222	8	6	22	554	518	756	56	3246	11312	1988	1600	9876	86	36	2230	5306	274	4	0	0	28	10	12	502	4050	12326	1078	78	1052	212	1836	76	752	818	920	232	8474	2	18	220	310	2778	26	172	3382	44	1324	354	1684	1936	5270	440	11954	6026	5388	4764	170228	88	1724234	308	2834	98	1860	50	614	514	212	0	436	4162	1520	1332	698	6144	208522	21312	876	4140	1180	246	286	380	126	248	21362	754	272	486	422	64	920	10246	576	2420	354	192	3148	258	1836	2670	1548	22	136	268	338	800	3968	1482	12	0	4872	32458	20382	22	206	94	0	290	202	18	252	64	142	568	0	78	484	0	164	66	20	436	48	10	34	50	8	380	4	2	80	10	2	2	48	2	2	160	38	18	460	124	1714	70	286	102	0	382	212	1398	0	0	0	18	134	88	1296	0	480	4	216	3258	80	2134	0	4	556	42	48	12	234	8	4	0	12	8	60	60	74	956	256	50	212	26	80	1468	366	32	1040	44	942	244	66	118	4482	142	170	54	1578	37870	2854	232	1634	304	36	60	4228	4340	4582	9960	2150	644	34718	328068	8750	16984	2140	98	758	1644	19234	260	72	6372	344	44614	2924	40	2370	5374	496	21950	74	94	140	1280	3190	3928	6660	2144	272624	102	38	108	2006	5962	92	0	124	138	196	100	94	52	36	506	0	72838	94152	55540	15484	84730	24	500	180	1284	1132	9728	912	602	1042776	4080	9340	145594	26058	62878	53252	136	4840986	950	4858	88758	548	40	682	SF
465	178	182	2	12538	83368	34	1643578	730	115006	3044	125690	8142	24	6117276	115512	393296	5364	534908	0	220	20366	48756	344	134	27320	1244	290	48032	5304	209364	208150	163154	512	36182	915480	304734	4	0	12	88730	156	1336	88	700	138	33956	142298	350	12	34	68508	2653368	3220	1270	6826	5058	345606	9366	2382	273618	104	599682	24	270	38	116	678	34	38	140	702	228	44	44	1446	400	598	202	206	144	16	2688	1700	4	0	2	0	674	240	18	906	20140	4680	2116	0	12	2	666	142	7210	5018	2734	1922	25932	0	2938	178	642	838864	2	63990	11482	915056	95126	166	23416	22580	118846	107824	1048	2994	425358	476	50500	146	13786	102	8274	54	17354	3006	1604	4532	27982	22	370	8224	10706	5474	28218	506	1664	184	1310	78208	224	157072	176650	828	38	3426	17590	4842	434	316	402	332	3162	117504	2488	19880	1384	129024	24322	2654	3018	107288	1410	446	1224	504	428	7060	66114	734	96	16	14	9324	14740	54	16	42	4	412	796	1670	16194	706	1118	9410	834	840	1990	111456	19626	1204	277430	1340684	578	464	40528	4018	18	3864	36	97380	252	6460	14	30	690	134	468008	288	860	2	43928	1970	594	4	8	14	2	2092	604	1362	238	32	13016	48	278424	3968	1090	0	178	387618	7736	3869912	2756	0	14	282	3932	522	472	15868	3844	856	582	6660	248	109990	16	194	178954	7956	5152	34228	862	174	220	5070	782	334	184122	788	35136	464	968	86	19086	290	1414	42	1990	15452	758	2208	390	27416	168	14320	48760	22106	187342	5768	8382	1544	18106	35588	6978	388554	460	708	51706	124860	18326	880	3958	18238	1574	141602	15374	1288	2986	1250898	10126	51806	360	1384	410	488	1024	838	324	50574	708586	3424	46	1100	376	1688	0	90	10936	80	2410	36	52	2	86	3130	0	492270	129996	487460	5800	11524	2	2256	55800	26	8894	10952	62988	6	970	40	14044	3030856	199608	954418	7326	630	68	14648	90632	217910	304796	52	1608	HC
103	100	144	1902	5322	1017286	206	1448434	540	39012	140	18602	352	12	8234576	16024	8424	334888	571042	50	2	212	1288	672	164	400	274	43590	862	1174	77922	123940	140848	646	9376	82340	1012	28	476	242	42756	116	14994	1734	20046	784	561818	174610	9490	44	220	2024	356840	7942	1096	620	1112	45732	37928	35678	65488	84	184712	128	202	444	236	1026	6	0	0	1458	810	86	446	8470	1718	29366	1086	334	140	114	105298	3124	78	2	6	442	10	6	2	736	19388	3502	4644	80	5950	0	554	30	7402	4040	6994	7552	64504	0	864	130	924	3422	56	420	17812	314	2592946	124	34944	157952	382458	2634	2144	3062	14986	1052	77012	136	13684	146	416990	12	15676	2622	986	652	216	0	2052	22846	3310	6298	1950	3574	5500	7830	6382	14692	13980	108	978	604	54	430	25422	6720	430	2508	3504	394	2228	5230	6116	4126	166	27150	38860	4776	1356	35638	932	26	478	610	84	1080	20492	1680	4	372	206	92144	29960	688	38	324	6	22	56	12	116	30	3454	2	2	210	4	0	28	30	100	2304	40	1258	24	536	0	966	2	0	14	22	0	0	64	0	6	8	48	8	905436	416	1122	24	8	0	0	1524	962	372	0	0	236	119788	154	22	0	0	4	20	260	1870	50	0	0	262	1210	280	12	1186	1134	92	10712	108	122	2	16	528	259600	318872	2590	2138	1026	142	1668	7432	2132	168	21582	182	27456	1854	1042	16	10878	944	122	114	6916	402172	4338	100	1352	9170	182	9190	57290	5062	71966	5560	1760	1962	64390	69534	84918	1486916	47410	1326	198976	1342	245780	6236	26242	2921796	3608	53694	416	234	8040	21856	1884	10210	368	237890	134	262	21680	276	8085964	54338	89546	250	66	198	1332	104168	44	4	61348	84	1238	42	142	6978	40	108118	0	279098	131064	2623444	8524	37556	52	642	400	75294	2164	3590	16786	76	11854	20782	78	418236	930896	751084	247394	58	6588	338	240826	100820	1408	190	9014	SF
451	34	60	34	33802	87004	0	2910494	716	66490	2012	183112	2276	28	7100478	12040	15156	8672	324306	0	330	20520	152140	572826	218	786	1202	842	10744	4110	104672	593856	35202	1300	5506	108318	9102	0	2	55032	41666	96	1478	2	214	158	1410	566328	758	36	358	66014	1114562	2574	832	3558	5436	90478	15370	4544	163044	772	110514	8	150	48	168	654	4	6	0	870	44	274	164	1236	1934	6626	4310	1116	242	74	69928	1760	828	0	6	38	192	134	48578	1024	45756	3974	2998	0	506	0	3076	4814	9810	1106	2584	7966	7880	38	6964	128838	606	4698	4	38	4168	844	53686	228	20104	15374	3212	244	14640	4202	25668	1174	1830	42	814410	80	11236	194	19738	126	136612	1776	2366	86	326	7592	1386	1764	1436	1112	15736	4	10696	28870	490	480	2020	41262	56	1430	13984	3524	278	1596	474	264	2372	11172	2974	85444	1404	19588	36490	8800	3122	27168	4026	186	464	95170	186	38212	93838	1668	34	10	2628	10784	11952	110	0	56	2	866	260	1042	866	35640	342602	906	158	81420	170	40	2722	656	20086	2694	57590	2084	136	768	2	8712	258	48	28	116	204	28	566	210	20	154	558	0	879764	3328	1090	703626	224	8	20	1798	292	1936	0	4	2	12	16	24	148	76	132	1024	858	3146	467712	0	172	218	1122	338	230	16488	12862	498	232	6704	178	5468	22	262	350604	2174	2310	392	1894	182318	13854	2874	3534	124	106978	82	2622	342	145296	84	110	52	270	292	2402	8030	654	1518	8804	17066	388	84926	7254	7598	39270	2326	336	504	288924	26628	7168	34364	244	360	49154	46104	106222	6034	1426	15130	2592	39796	13816	974	4570	8220	2214	70836	60	4010	216	184	1512	26700	354	111386	370536	812	164	5870	540	30898	4	0	142	270	922	26	806	8152	12	2722	2	200238	104622	626602	9750	95686	0	2480	304	26	9924	4872	6772	6	928	2	6354	279832	2253272	808054	12294	274	20	6992	89880	268964	170	346	1588	HC
