	Domain	Phylum	Class	Order	Family	Genus
SV_0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Escherichia/Shigella
SV_1	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
SV_2	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
SV_3	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus
SV_4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus
SV_5	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus
SV_6	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
SV_7	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella
SV_8	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Veillonella
SV_9	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
SV_10	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
SV_11	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella
SV_12	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus
SV_13	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Sneathia
SV_14	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella
