	X000_CYSTINE	X101_OU	X101_PU	X101_S_L	X101_S_R	X102_EC	X102_OU	X102_PU	X103_EC_1	X103_EC_2	X103_OU	X103_PU	X103_S	X104_EC	X104_OU	X104_PU	X104_S	X105_S	X105_OU	X105_PU	X106_EC	X106_OU	X106_PU	X106_S	X107_EC	X107_PU1	X107_PU2	X107_S	X108_PU	X109_PU	X110_EC	X110_PU	X110_S	X111_PU	X111_S	X112_OU	X112_PU	X113_PU	X114_OU	X114_PU	X115_OU	X115_PU	X116_OU	X116_PU	X116_S	X117_PU	X118_PU	X119_EC	X119_OU	X119_PU	X119_S	X120_OU	X120_PU	X121_OU	X121_PU	X122_EC	X122_OU	X122_PU	X122_S_1	X122_S_2	X122_S_3	X123_OU	X123_PU	X124_PU	X125_EC	X125_OU	X125_PU	X125_S	X126_OU	X126_PU	X126_S	X127_OU	X127_PU	X127_S	X128_OU	X128_PU	X129_PU	X130_EC	X130_OU	X130_PU	X130_S	X131_PU	X132_OU	X132_PU	X133_OU	X133_PU	X134_PU	X134_S	X135_OU	X135_PU	X136_EC	X136_OU	X136_PU	X136_S	X137_OU	X137_PU	X137_S	X138_PU	X139_PU	X140_OU	X140_PU	X141_OU	X141_PU	X142_OU	X142_PU	X143_OU	X143_PU	X144_OU	X144_PU	X144_S	X145_OU	X145_PU	X146_OU	X146_PU	X147_OU	X147_PU	X148_PU	X149_OU	X149_PU	X150_PU	X151_OU	X151_PU	X152_EC	X152_OU	X152_PU	X152_S	X153_EC	X153_PU	X153_S	X154_OU	X154_PU	X155_OU	X155_PU	X156_OU	X156_PU	X157_PU	X158_OU	X158_PU	X159_PU	X160_OU	X160_PU	X160_S	X161_OU	X161_PU	X162_EC	X162_OU	X162_PU	X163_OU	X163_PU	X164_PU	X165_OU	X165_PU	X166_OU	X166_PU	X167_OU	X167_PU	X167_S	X168_OU	X168_PU	X169_OU	X169_PU	X170_PU	X171_OU	X171_PU	X172_EC	X172_OU	X172_PU	X172_S	X173_PU	X174_OU	X174_PU	X175_EC	X175_OU	X175_PU	X175_S	X176_OU	X176_PU	X177_OU	X177_PU	X177_S_2	X178_OU	X178_PU	X178_S_1	X178_S_2	X179_OU	X179_PU	X180_PU	X181_PU	X182_PU	X182_S	X183_OU	X183_PU	X184_EC	X184_OU	X184_PU	X184_S	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X457_PU	X458_PU	X459_PU	X460_PU	X462_PU	X463_PU	X464_PU	X465_PU	X467_PU	X469_PU	X470_PU	X471_PU	X472_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU	DNAB1	DNAB3	PCRB1	PCRB2	PCRB3	SPIKE1_1	SPIKE1_2	SPIKE1_3	SPIKE2_1	SPIKE2_2	SPIKE2_3	tax.vector
SV_10	0	0	2597	10	1959	6	12	832	84	0	14	266	87	0	9	309	58	51	0	1012	620	0	24	47	0	6974	53	0	547	33	0	7687	0	17	10	57	145	22	0	2817	78	33	48	236	0	534	144	6	0	833	65	0	6	0	397	0	0	15	0	2245	72	0	0	50	0	0	41	102	23	6554	741	7	2272	0	29	863	75	13	0	63	324	1483	19	98	0	0	24	0	0	673	0	7	1159	19	12	7047	182	10537	48330	0	10507	0	144	76	627	0	367	0	437	3	90	303	0	9	7	5583	120	0	230	143	0	9	66	22	70	4	10	178	0	12	6	400	15002	0	122	775	11	15	542	4	258	250	0	172	75	28	12	0	151	96	3	9954	0	278	0	245	200	0	28	9	15	228	0	74	0	0	42	33	279	0	39	0	0	127	75	76	121	62	955	0	44	98	0	0	14	98	119	0	833	0	0	129	0	0	25	65	91	110	0	321	48513	111	0	767	3540	64	2146	298	125	18	85	3372	51	416	518	78	49	469	20	3848	125	0	134	280	9	250	39	0	0	601	0	258	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella
SV_11	0	0	0	0	0	0	0	0	0	0	0	2721	0	144	0	938	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	249	0	0	0	0	0	24	194	3770	0	0	0	0	134	0	1347	0	0	219	0	0	0	0	164	0	0	92	0	0	0	0	0	0	0	0	115	0	0	0	0	0	0	0	0	388	0	0	0	0	0	127738	100	0	0	485	341	536	0	65	0	0	0	0	0	0	0	0	0	0	0	26	1166	0	5193	0	0	0	151	0	0	0	0	0	0	0	142	0	1796	1460	0	0	0	0	0	0	0	676	0	0	97	0	0	0	161	0	0	0	281	0	0	0	0	0	0	0	0	0	184	444	0	0	0	0	0	0	0	0	0	0	0	0	0	1905	87	0	0	2505	0	0	0	0	0	0	0	0	0	0	0	0	0	360	522	0	0	0	0	459	0	0	0	96	28	0	196	102	0	0	0	0	0	0	0	0	0	177	0	1585	0	0	0	0	0	3409	0	0	0	90	0	0	0	0	295	0	0	0	0	142	0	0	0	85	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella
SV_12	0	0	121	0	0	58	0	0	0	60	0	18	0	0	0	689	35	0	0	59	0	0	48	0	0	171	294	38	16	69	55	2054	62	0	0	0	33	0	0	48	0	0	35	496	0	115	131	0	0	18	0	0	10	95	148	0	0	0	147	98	0	109	151	73	42	0	279	0	0	15	0	21	0	0	0	21	0	0	0	278	0	67	0	310	22	54	4016	0	0	0	0	0	34	0	0	30	530	0	0	0	213	0	0	0	269	60	0	19	0	35	0	78	0	0	12	149	0	0	18	338	240	0	76	0	42	0	0	31	0	27	0	0	35	12	223	14837	24	186	48	0	0	0	0	25	0	0	0	0	45	7	0	12	80	0	24	90	0	63	214	16	0	88	500	33	0	0	125	0	21	0	81	4	0	239	26	63	0	0	49	9	0	26	0	0	48	77	32	289	272	0	18	951	47	14741	2130	0	0	65	0	0	0	0	0	0	0	0	232	0	0	28	0	0	15	0	0	0	93	0	258	0	0	0	0	0	0	0	0	159	41	17	83	52	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus:jensenii
SV_13	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	11	0	0	7	0	0	0	96	217	0	102	44	0	42	182	0	14	0	12	0	0	26	0	0	119	0	0	0	0	8	5	214	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	166	0	0	0	0	0	95867	0	59	8	0	37	0	40	27	0	9	0	0	0	0	0	0	0	0	56	135	0	17	95	0	0	31	0	8	25	0	0	0	63	0	4851	0	15	0	59	0	0	56	0	8	0	28	0	0	0	0	0	0	0	0	43	0	86	0	0	0	0	0	143	0	0	107	0	0	0	27	10	197	0	11	0	0	24	0	0	130	0	61	0	27582	29	254	84	0	22	0	3	0	0	0	0	0	0	0	18	0	110	0	0	0	0	0	51	0	37	0	0	64	0	0	0	0	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	928	77	0	0	0	0	363	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Sneathia:vaginalis
SV_14	0	0	2085	0	862	0	0	609	41	22	0	335	0	0	0	1154	0	0	0	3668	141	0	0	0	14	0	50	0	0	0	17	57	12	0	0	0	49	0	4	6009	0	0	0	0	49	257	136	0	0	793	0	53	0	0	320	0	0	0	13	210	0	0	0	0	0	0	0	93	0	549	361	0	859	0	0	723	0	0	0	0	49	1416	0	0	0	47	32	6	0	603	0	0	652	0	0	150	92	67	26570	59	231	30	76	0	171	0	67	0	257	0	0	56	0	0	0	98	69	0	191	98	0	0	0	0	0	0	0	26813	0	0	0	503	17376	0	3677	113	0	0	52	0	45	80	0	61	109	39	0	37	63	58	0	0	0	48	0	0	43	0	0	0	0	0	0	40	0	41	0	0	87	0	0	0	0	0	0	55	0	22	552	0	28	50	26	0	0	19	38	26	0	0	0	28	21	0	0	120	0	0	0	72	26185	256	0	434	412	42	854	69	37	0	0	41	0	0	125	0	0	496	0	0	0	0	53	105	0	70	0	0	0	84	0	341	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella
SV_15	21	0	0	39	152	0	0	424	68	153	12	508	178	11	0	47	42	12	0	222	556	4	34	170	15	0	2217	30	17	63	25	12	0	0	57	14	34	0	16	1908	20	0	0	0	93	27	229	0	0	16	142	104	28	0	272	27	18	17	126	1598	30	0	0	48	0	0	93	855	155	9443	44534	28	22	45	5	29	32	70	0	4	81	6713	14	0	0	32	28	213	7	40	0	0	59	12	17	7930	308	10	16	3	0	0	125	0	402	0	14	0	84	36	0	49	0	17	0	89	22	0	92	86	15	0	0	0	22	96	16	38	67	0	20	0	654	0	39	3271	11	7	33	0	27	343	0	11	0	50	10	0	22	135	0	32	0	91	0	38	163	66	23	0	10	0	0	199	0	11	0	239	21	6	72	0	0	0	141	228	42	0	48	79	0	36	113	60	21	0	71	0	0	0	0	38	5	0	299	92	63	83	17	31	126	13090	0	116	5258	144	150	461	615	130	0	96	111	168	42	19160	81	215	20	26	43	77	8	50	0	74	78	0	0	329	0	71	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium
SV_16	116	0	0	0	170	0	0	0	0	0	0	0	263	0	0	0	171	33	0	0	176	0	94	662	45	0	699	0	0	168	84	14	0	17	26	0	39	0	0	484	0	0	0	0	0	0	241	0	0	0	188	0	52	0	0	67	35	0	0	8889	156	0	0	166	0	0	289	240	0	27947	156	60	0	0	19	0	0	0	0	0	88	0	0	6	0	0	5	67	18	0	0	0	122	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	214	187	0	84	0	18	0	82	0	0	179	72	23	0	0	0	0	368	44	0	0	0	0	0	110	0	164	250	16	0	0	0	0	489	0	8	0	0	0	21	0	206	0	87	0	0	0	128	195	90	41	0	0	0	0	294	0	0	0	462	15	0	130	0	2	0	208	182	0	0	51	0	0	0	37	224	0	0	150	0	0	0	0	51	0	0	0	479	76	274	41	15	87	47455	0	40	27883	711	432	296	657	13	0	53	138	0	225	0	47	291	81	76	0	0	0	131	4	250	330	0	0	1622	0	235	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Megasphaera
SV_17	255	392	0	0	0	0	0	622	0	0	0	0	269	0	0	0	89	50	18	12	0	125	569	155	0	0	0	0	52284	493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	185	0	0	0	660	0	0	486	0	0	0	0	46	38	0	0	627	0	133	698	0	0	23	0	0	693	0	0	0	319	0	0	0	0	0	116	0	47	171	0	0	0	1570	0	0	0	244	0	96	1762	0	0	0	0	0	111	0	0	0	0	0	0	0	983	835	44998	0	0	0	0	0	0	0	464	0	0	0	0	0	0	140	0	0	0	0	0	328	0	0	0	0	0	0	780	0	0	0	0	0	0	0	0	0	0	15	0	764	773	96	0	0	18	0	0	0	0	1708	0	0	0	0	0	0	372	0	0	0	0	0	0	0	0	0	0	870	221	0	605	0	0	0	50	0	0	0	95	93	0	0	0	0	0	362	0	137	0	0	0	0	70	0	0	0	40	0	184	632	0	0	0	573	0	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Klebsiella
SV_18	0	0	0	16	0	23	0	40	19	30	0	219	0	0	0	81	29	0	0	195	0	0	22	18	0	44	48	40	0	56	32	680	0	0	400	0	63	28	0	56	0	0	23	141	19	96	1941	0	0	96	44	0	12	6	42	0	263	58961	40	112	0	68	717	34	15	0	29	85	0	33	45	17	303	14	0	215	48	0	0	22	0	649	0	28	26	270	229	23	0	18	0	8	27	0	0	0	40	0	0	0	19	0	36	0	28	19	0	15	0	12	0	63	0	627	12	137	60	0	150	1147	173	0	28	15	0	29	0	251	30	25	38	0	76	0	17	14544	36	58	3859	0	0	10	0	15	0	0	0	0	194	79	20	16	40	23	1930	620	19	46	165	6	568	0	133	213	0	0	0	95	0	0	136	0	55	847	0	0	0	0	67	0	0	168	0	91	40	0	46	367	11	0	0	250	44	5826	88	44	0	15	944	0	8	27	0	8	0	17	321	27	0	100	0	0	0	45	0	3574	83	877	4654	45	16	26	39	18	0	0	50	104	0	0	49	64	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus
SV_19	34	31	0	0	0	0	0	46	0	0	0	16	102	0	14	51	294	30	72	1192	0	68	0	60	0	0	49	0	48	216	0	9464	0	25	0	0	40	0	0	29	0	13	0	0	0	85	4635	0	0	18	0	0	0	0	0	0	0	56	0	353	45	0	0	0	0	0	0	91	0	0	0	0	43	0	0	23	45	0	0	211	0	156	0	105	0	332	20	0	0	45	0	0	0	0	0	62	0	28	37	0	0	0	174	0	0	0	30	0	79	51	0	147	0	60	0	774	13	18	0	1070	177	0	0	0	54	545	0	23	0	0	0	0	0	0	0	9451	75	0	58	0	41	0	0	0	0	0	12	0	22	13	0	0	39	62	15	0	0	0	0	0	58	0	0	34	3	0	0	450	131	0	40	0	0	0	0	18	14385	0	38	0	0	26	0	151	0	0	0	39	0	0	0	597	0	0	0	146	0	65	207	0	0	136	0	0	0	123	49936	51	0	141	0	0	0	13	89	0	0	0	129	122	0	43	0	132	17	0	98	26	0	64	78	23	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus
