	X000_CYSTINE	X101_OU	X101_PU	X101_S_L	X101_S_R	X102_EC	X102_OU	X102_PU	X103_EC_1	X103_EC_2	X103_OU	X103_PU	X103_S	X104_EC	X104_OU	X104_PU	X104_S	X105_S	X105_OU	X105_PU	X106_EC	X106_OU	X106_PU	X106_S	X107_EC	X107_PU1	X107_PU2	X107_S	X108_PU	X109_PU	X110_EC	X110_PU	X110_S	X111_PU	X111_S	X112_OU	X112_PU	X113_PU	X114_OU	X114_PU	X115_OU	X115_PU	X116_OU	X116_PU	X116_S	X117_PU	X118_PU	X119_EC	X119_OU	X119_PU	X119_S	X120_OU	X120_PU	X121_OU	X121_PU	X122_EC	X122_OU	X122_PU	X122_S_1	X122_S_2	X122_S_3	X123_OU	X123_PU	X124_PU	X125_EC	X125_OU	X125_PU	X125_S	X126_OU	X126_PU	X126_S	X127_OU	X127_PU	X127_S	X128_OU	X128_PU	X129_PU	X130_EC	X130_OU	X130_PU	X130_S	X131_PU	X132_OU	X132_PU	X133_OU	X133_PU	X134_PU	X134_S	X135_OU	X135_PU	X136_EC	X136_OU	X136_PU	X136_S	X137_OU	X137_PU	X137_S	X138_PU	X139_PU	X140_OU	X140_PU	X141_OU	X141_PU	X142_OU	X142_PU	X143_OU	X143_PU	X144_OU	X144_PU	X144_S	X145_OU	X145_PU	X146_OU	X146_PU	X147_OU	X147_PU	X148_PU	X149_OU	X149_PU	X150_PU	X151_OU	X151_PU	X152_EC	X152_OU	X152_PU	X152_S	X153_EC	X153_PU	X153_S	X154_OU	X154_PU	X155_OU	X155_PU	X156_OU	X156_PU	X157_PU	X158_OU	X158_PU	X159_PU	X160_OU	X160_PU	X160_S	X161_OU	X161_PU	X162_EC	X162_OU	X162_PU	X163_OU	X163_PU	X164_PU	X165_OU	X165_PU	X166_OU	X166_PU	X167_OU	X167_PU	X167_S	X168_OU	X168_PU	X169_OU	X169_PU	X170_PU	X171_OU	X171_PU	X172_EC	X172_OU	X172_PU	X172_S	X173_PU	X174_OU	X174_PU	X175_EC	X175_OU	X175_PU	X175_S	X176_OU	X176_PU	X177_OU	X177_PU	X177_S_2	X178_OU	X178_PU	X178_S_1	X178_S_2	X179_OU	X179_PU	X180_PU	X181_PU	X182_PU	X182_S	X183_OU	X183_PU	X184_EC	X184_OU	X184_PU	X184_S	X450_PU	X451_PU	X452_PU	X453_PU	X454_PU	X455_PU	X457_PU	X458_PU	X459_PU	X460_PU	X462_PU	X463_PU	X464_PU	X465_PU	X467_PU	X469_PU	X470_PU	X471_PU	X472_PU	X474_PU	X475_PU	X476_PU	X477_PU	X478_PU	X479_PU	DNAB1	DNAB3	PCRB1	PCRB2	PCRB3	SPIKE1_1	SPIKE1_2	SPIKE1_3	SPIKE2_1	SPIKE2_2	SPIKE2_3	tax.vector
SV_20	0	0	0	0	8	0	0	33	0	15	0	317	0	0	0	7	0	0	0	0	0	0	14	0	0	0	0	0	0	28	7	276	0	0	0	0	11	165	0	35	0	0	0	0	0	0	43	0	7	221	485	0	11	0	84	0	0	70	11	12	0	186	16	15	0	60	0	61	0	0	29	0	26	0	0	165	469	0	0	0	0	508	0	0	0	399	370	0	0	10	0	0	14	0	0	0	0	0	390	0	24	0	0	0	0	0	5	0	16	0	0	0	0	0	0	23	120	55	1451	314	0	0	0	0	0	0	0	647	105	0	127	47	3554	0	16	66	0	587	75108	0	0	0	0	0	0	0	119	0	168	150	101	63	0	0	0	0	0	0	11	0	0	0	0	148	0	0	5	0	0	0	541	0	0	0	10	0	0	0	19	0	0	342	0	900	0	0	27	194	43	0	0	0	0	0	199	0	10	7	0	0	0	0	0	0	21	24	38	7	0	0	57	382	0	0	36	104	0	0	31	0	0	0	48	0	0	0	0	0	0	0	0	25	Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus
SV_21	0	0	549	0	326	0	0	57	93	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	9	0	50	0	21	0	0	1618	0	0	0	59	0	0	4	7886	0	21	43	30	0	0	102	0	0	498	0	0	279	0	0	0	0	0	0	229	0	0	0	0	0	0	0	0	0	10	0	0	200	0	0	0	23	0	0	0	0	10	0	4	0	6	0	0	0	167	0	0	553	0	0	2378	0	41	61477	0	20	0	53	0	11	0	35	0	389	0	14	39	0	0	0	5721	0	0	78	99	0	0	0	0	38	0	0	0	0	0	5	0	0	0	31	96	4	0	0	0	16	0	0	7	65	0	19	4	0	10	0	0	0	29	0	0	0	0	0	0	6	0	0	28	0	0	42	0	101	0	7	0	0	0	0	0	24	0	24	0	42	0	13	0	0	0	0	0	0	0	0	14	0	0	0	0	14	56	0	0	0	0	0	248	405	0	223	0	0	8	18	0	0	0	136	0	0	0	0	0	0	0	0	4	0	66	0	0	0	68	0	10	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6
SV_23	0	89	135	0	60	0	0	0	0	0	0	0	393	0	0	736	0	0	0	0	0	106	0	0	0	100	0	0	0	825	0	0	0	0	0	9	0	0	0	0	0	0	0	100	0	0	0	0	0	50	0	0	0	0	120	0	0	204	0	0	0	0	120	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	25	63255	0	0	0	225	0	2476	0	0	0	0	0	0	1383	0	0	0	0	0	0	0	261	0	0	0	138	0	0	0	0	0	0	944	0	0	0	0	0	0	0	0	0	0	0	0	0	2167	0	0	0	0	0	0	0	0	171	218	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1092	0	0	0	0	0	0	0	0	0	0	0	115	0	0	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	196	0	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus
SV_25	0	0	1627	7	59	32	0	48	11	0	0	26	28	0	0	83	16	22	0	875	54	0	0	9	40	325	4	0	58	12	57	1180	0	0	7	30	52	0	0	2974	109	48	32	707	9	444	85	21	0	98	14	0	79	3	42	0	0	139	0	338	8	0	0	27	0	0	32	8	0	367	20	0	7	0	0	19	14	0	2	54	13	750	8	36	6	140	68	0	0	669	0	0	52	0	6	2490	27	2170	2902	13	200	43	30	0	191	8	13	0	94	0	0	9	0	0	0	12	24	0	249	33	0	10	0	2	22	6	0	12505	0	3	54	10	0	0	16962	136	0	43	55	2	55	14	0	12	15	3	31	18	165	28	20	1256	0	18	0	385	22	0	7	0	4	62	3	24	0	6	17	23	13	7	18	4	0	169	34	5	40	0	5	0	23	33	25	6	29	28	23	16	2008	0	0	122	45	0	21	84	107	32	0	11	304	25	6	0	1119	122	40	328	16	0	88	6948	13	43	2890	0	21	85	63	952	0	0	20	0	0	13	13	0	16	79	0	88	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter
SV_26	0	0	650	0	444	0	0	149	86	0	0	0	0	0	0	78	0	18	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	66	0	0	0	0	0	0	59	0	0	24	0	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	324	0	0	347	0	1725	63719	0	0	0	95	9	92	0	98	0	159	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	17	70	0	17	0	0	0	0	0	0	55	0	0	0	0	0	0	12	0	0	0	0	0	37	0	80	0	0	0	0	0	0	40	65	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	0	0	0	17	0	0	98	0	0	0	0	0	0	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella
SV_27	0	14	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	1020	63085	2172	0	83	0	0	0	183	0	0	0	113	0	82	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella
SV_28	0	0	873	0	59	0	62	155	0	0	139	26	16	239	72	225	0	0	8	0	21	0	0	21	52	143	15	0	28	256	39	27	17	54	0	0	70	0	0	107	0	41	0	5691	0	169	17	0	95	23	0	0	65	0	306	0	106	0	0	31	0	0	0	371	0	156	43	0	0	25	0	0	25	0	14	20	50	19	0	78	0	36	22	98	0	16	17	0	78	84	0	198	1506	0	0	40	26	6	82	0	0	0	72	0	118	0	29	83	243	7	0	219	165	0	0	74	164	0	136	44	0	3720	0	0	47	11	0	25	0	0	15	203	10	0	287	27	0	64	51	9	24	28	0	0	0	0	148	32696	173	1857	0	12	0	8339	16	70	144	0	51	0	0	34	0	89	0	0	369	0	26	0	35	0	0	0	17	410	55	78	0	0	140	47	60	0	0	0	33	30	95	0	0	172	0	0	0	22	10	170	0	0	103	0	0	0	412	157	767	34	0	298	242	10	11	0	15	0	81	2073	26	0	0	0	0	0	0	37	37	0	42	0	0	32	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus
SV_29	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	59614	0	0	123	0	0	0	26	0	0	64	34	0	116	0	0	0	0	0	24	226	0	0	32	0	0	41	0	0	90	37	0	0	0	0	0	0	97	0	0	326	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	307	0	0	35	0	0	1897	0	0	0	0	0	0	0	0	0	0	0	0	85	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0	238	0	0	29	0	0	0	0	29	0	0	0	0	0	0	0	68	0	0	0	0	0	97	55	0	0	0	0	367	0	0	0	0	0	0	126	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	573	0	0	0	0	0	10	326	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	248	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella
SV_30	0	0	120	0	81	0	0	30	0	0	17	119	20	0	0	31	0	0	22	2906	129	19	10	0	0	13	12	0	39	14	3	1096	0	0	0	15	4	21	0	1200	35	0	0	60	15	31	32	0	0	263	20	0	31	10	12	0	0	23	11	559	0	0	24	27	0	0	12	0	0	966	11	2	0	0	0	107	0	0	7	0	6	263	18	0	0	174	176	0	0	109	5	0	49	0	0	494	50	37	8315	29	606	18	63	76	184	3	0	0	62	0	16	25	0	0	0	200	73	11	184	147	0	3	0	0	64	0	0	9230	3	0	58	0	4	0	960	35	0	14	124	0	25	11	0	0	40	10	21	44	53	131	0	139	0	46	0	19	17	0	0	0	6	6	6	96	0	50	10	0	64	0	10	15	9	12	32	0	43	0	8	0	8	154	0	5	34	0	8	40	1068	0	0	32	11	0	111	35	160	96	0	0	1420	5	4	0	1610	25	165	92	0	0	130	10	12	136	31	7	9	74	5	0	0	0	12	13	0	0	0	0	8	84	0	47	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella
SV_31	5	167	103	0	66	0	1186	0	53	0	1379	0	0	51	135	0	0	48	94	19	28	87	0	0	113	0	0	0	0	0	0	0	0	0	0	37239	0	0	333	11	175	0	133	24	0	0	0	55	0	133	0	104	0	128	0	53	13	0	0	0	23	0	0	0	0	543	0	0	77	0	0	75	0	0	23	0	0	0	40	0	10	0	100	0	101	0	0	0	0	0	29	30	90	11	126	39	0	35	126	49	0	112	0	44	0	13	0	715	5	0	255	0	40	0	1990	0	0	61	12	0	0	0	0	5794	0	0	79	0	0	11	0	20	0	88	11	0	111	0	0	172	0	5	218	18	217	56	0	1429	0	0	122	0	82	0	0	0	0	0	14	37	0	0	0	0	0	3980	0	0	0	166	0	69	15	0	0	17	0	0	0	0	197	0	0	0	25	23	0	27	0	0	0	0	0	92	0	0	0	0	0	29	0	0	0	0	0	3	0	0	0	0	0	0	0	0	128	0	17	0	32	0	0	0	54	0	58	0	0	0	0	0	0	0	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter
