	Kingdom	Phylum	Class	Order	Family	Genus	Species
SV_54	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_55	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_56	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Leptotrichiaceae:Sneathia						
SV_57	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_58	Bacteria:Firmicutes:Clostridia:Clostridiales:NA:NA						
SV_59	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_60	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium						
SV_61	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_62	Bacteria:Tenericutes:Mollicutes:Mycoplasmatales:Mycoplasmataceae:Ureaplasma						
SV_63	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_64	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter						
SV_65	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_66	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_67	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_68	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:NA						
SV_69	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_70	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_71	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_72	Bacteria:Proteobacteria:Gammaproteobacteria:Pasteurellales:Pasteurellaceae:Haemophilus						
SV_73	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Varibaculum						
SV_74	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_75	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_76	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
SV_77	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_78	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Howardella						
SV_79	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Micrococcaceae:Pseudoglutamicibacter						
SV_80	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_81	Bacteria:Proteobacteria:Gammaproteobacteria:Xanthomonadales:Xanthomonadaceae:Stenotrophomonas						
SV_82	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_83	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Mobiluncus						
SV_84	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinobaculum						
SV_85	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_86	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_87	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_88	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_89	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_90	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium						
SV_91	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_92	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_93	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Facklamia						
SV_94	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_95	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_96	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces						
SV_97	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Varibaculum						
SV_98	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Moraxellaceae:Acinetobacter						
SV_99	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Comamonas						
SV_100	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium						
SV_101	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_102	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_103	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_104	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_105	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:NA						
SV_106	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_107	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_108	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Negativicoccus						
SV_109	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_110	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_111	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
SV_112	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Morganella						
SV_113	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Oligella						
SV_114	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_115	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Eggerthellaceae:DNF00809						
SV_116	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_117	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_118	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Neisseriaceae:Neisseria						
SV_119	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_120	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_121	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_122	Bacteria:Synergistetes:Synergistia:Synergistales:Synergistaceae:Pyramidobacter						
SV_123	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Negativicoccus						
SV_124	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
SV_125	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_126	Bacteria:Firmicutes:Clostridia:Clostridiales:Peptostreptococcaceae:Peptostreptococcus						
SV_127	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium						
SV_128	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_129	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_130	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Nosocomiicoccus						
SV_131	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Gallicola						
SV_132	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_133	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_134	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_135	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_136	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_137	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_138	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Murdochiella						
SV_139	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_140	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_141	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces						
SV_142	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Parvimonas						
SV_143	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_144	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_145	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_146	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_147	Bacteria:Actinobacteria:Actinobacteria:Micrococcales:Brevibacteriaceae:Brevibacterium						
SV_148	Bacteria:Firmicutes:Bacilli:Bacillales:Family_XI:Gemella						
SV_149	Bacteria:NA:NA:NA:NA:NA						
SV_150	Bacteria:Tenericutes:Mollicutes:Mycoplasmatales:Mycoplasmataceae:Ureaplasma						
SV_151	Eukaryota:NA:NA:NA:NA:NA						
SV_152	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_153	Bacteria:Synergistetes:Synergistia:Synergistales:Synergistaceae:Jonquetella						
SV_154	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces						
SV_155	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_156	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_157	Eukaryota:NA:NA:NA:NA:NA						
SV_158	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:NA						
SV_159	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_160	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Faecalibacterium						
SV_161	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_162	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Helcococcus						
SV_163	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Bifidobacterium						
SV_164	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Lawsonella						
SV_165	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_166	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_167	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_168	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_169	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_170	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Moryella						
SV_171	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Helcococcus						
SV_172	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_173	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_174	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_175	Bacteria:Actinobacteria:Actinobacteria:Corynebacteriales:Corynebacteriaceae:Corynebacterium_1						
SV_176	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Klebsiella						
SV_177	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_178	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_179	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_180	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_7						
SV_181	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Pseudomonadaceae:Pseudomonas						
SV_182	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_183	Bacteria:Firmicutes:Bacilli:Bacillales:Family_XI:Gemella						
SV_184	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_185	Bacteria:Firmicutes:Clostridia:Clostridiales:Peptococcaceae:Peptococcus						
SV_186	Bacteria:Synergistetes:Synergistia:Synergistales:Synergistaceae:Pyramidobacter						
SV_187	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_188	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_189	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Actinomyces						
SV_190	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_191	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
SV_192	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_193	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_194	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_195	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Faecalibacterium						
SV_196	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Agathobacter						
SV_197	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Sutterella						
SV_198	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella						
SV_199	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_200	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_201	Bacteria:Proteobacteria:Gammaproteobacteria:Pseudomonadales:Pseudomonadaceae:Pseudomonas						
SV_202	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Prevotellaceae:Prevotella_6						
SV_203	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_204	Bacteria:Firmicutes:Clostridia:Clostridiales:Christensenellaceae:Christensenellaceae_R-7_group						
SV_205	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_206	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_207	Bacteria:Epsilonbacteraeota:Campylobacteria:Campylobacterales:Campylobacteraceae:Campylobacter						
SV_208	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Fastidiosipila						
SV_209	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_210	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_211	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_212	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Serratia						
SV_213	Bacteria:Actinobacteria:Actinobacteria:Actinomycetales:Actinomycetaceae:Arcanobacterium						
SV_214	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_215	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_216	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_217	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_218	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_219	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_220	Bacteria:Synergistetes:Synergistia:Synergistales:Synergistaceae:Jonquetella						
SV_221	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Negativicoccus						
SV_222	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Subdoligranulum						
SV_223	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Anaeroglobus						
SV_224	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_225	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Ezakiella						
SV_226	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_227	Bacteria:Firmicutes:Bacilli:Lactobacillales:Enterococcaceae:Enterococcus						
SV_228	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_229	Eukaryota:NA:NA:NA:NA:NA						
SV_230	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Dialister						
SV_231	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_232	Eukaryota:NA:NA:NA:NA:NA						
SV_233	Bacteria:Firmicutes:Bacilli:Lactobacillales:Lactobacillaceae:Lactobacillus						
SV_234	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_235	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Dorea						
SV_236	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia						
SV_237	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Atopobiaceae:Atopobium						
SV_238	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:NA						
SV_239	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_240	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Peptoniphilus						
SV_241	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_242	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Faecalibacterium						
SV_243	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Ruminococcus_2						
SV_244	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Helcococcus						
SV_245	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_246	Bacteria:NA:NA:NA:NA:NA						
SV_247	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Gardnerella						
SV_248	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_249	Eukaryota:NA:NA:NA:NA:NA						
SV_250	Bacteria:Actinobacteria:Actinobacteria:Bifidobacteriales:Bifidobacteriaceae:Scardovia						
SV_251	Bacteria:Firmicutes:Clostridia:Clostridiales:Ruminococcaceae:Subdoligranulum						
SV_252	Bacteria:Firmicutes:Negativicutes:Selenomonadales:Veillonellaceae:Veillonella						
SV_253	Bacteria:Fusobacteria:Fusobacteriia:Fusobacteriales:Fusobacteriaceae:Fusobacterium						
SV_254	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Parvimonas						
SV_255	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_256	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_257	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Delftia						
SV_258	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Porphyromonadaceae:Porphyromonas						
SV_259	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:W5053						
SV_260	Bacteria:Proteobacteria:Gammaproteobacteria:Enterobacteriales:Enterobacteriaceae:Escherichia/Shigella						
SV_261	Bacteria:NA:NA:NA:NA:NA						
SV_262	Bacteria:Proteobacteria:Gammaproteobacteria:Betaproteobacteriales:Burkholderiaceae:Parasutterella						
SV_263	Bacteria:Firmicutes:Bacilli:Bacillales:Staphylococcaceae:Staphylococcus						
SV_264	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XIII:S5-A14a						
SV_265	Bacteria:Firmicutes:Clostridia:Clostridiales:Lachnospiraceae:Blautia						
SV_266	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_267	NA:NA:NA:NA:NA:NA						
SV_268	Bacteria:Firmicutes:Clostridia:Clostridiales:Family_XI:Anaerococcus						
SV_269	Bacteria:Firmicutes:Bacilli:Lactobacillales:Streptococcaceae:Streptococcus						
SV_270	Bacteria:Bacteroidetes:Bacteroidia:Bacteroidales:Bacteroidaceae:Bacteroides						
SV_271	Bacteria:Firmicutes:Bacilli:Lactobacillales:Aerococcaceae:Aerococcus						
SV_272	Bacteria:Actinobacteria:Coriobacteriia:Coriobacteriales:Eggerthellaceae:Slackia						
SV_273	Bacteria:Bacteroidetes:Bacteroidia:Flavobacteriales:Weeksellaceae:Elizabethkingia						
